Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,Link Relatório
3,sáb,2024-04-20,21:00,Atlético Mineiro,1.1,3–0,0.8,Cruzeiro,39.541,Arena MRV,,Relatório da Partida,,/pt/partidas/2805e796/Atletico-Mineiro-Cruzeiro-2024Abril20-Serie-A
4,sáb,2024-04-27,16:00,Vasco da Gama,1.9,0–4,1.4,Criciúma,17.124,Estádio Club de Regatas Vasco da Gama,,Relatório da Partida,,/pt/partidas/ba508006/Vasco-da-Gama-Criciuma-2024Abril27-Serie-A
4,sáb,2024-04-27,17:30,Cuiabá,0.2,0–3,2.1,Atlético Mineiro,6.711,Arena Pantanal,,Relatório da Partida,,/pt/partidas/069d6245/Cuiaba-Atletico-Mineiro-2024Abril27-Serie-A
4,dom,2024-04-28,11:00,Flamengo,0.8,0–2,1.0,Botafogo (RJ),53.683,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/c6c5b0eb/Flamengo-Botafogo-RJ-2024Abril28-Serie-A
4,dom,2024-04-28,16:00,Cruzeiro,1.2,3–1,0.3,Vitória,20.083,Estádio Governador Magalhães Pinto,,Relatório da Partida,,/pt/partidas/2ec6867f/Cruzeiro-Vitoria-2024Abril28-Serie-A
4,dom,2024-04-28,16:00,Corinthians,1.2,3–0,0.4,Fluminense,42.119,Neo Química Arena,,Relatório da Partida,,/pt/partidas/a8cf2dc2/Corinthians-Fluminense-2024Abril28-Serie-A
4,dom,2024-04-28,18:30,Fortaleza,1.7,1–1,0.5,Red Bull Bragantino,18.113,Estádio Castelão,,Relatório da Partida,,/pt/partidas/4bfd8bae/Fortaleza-Red-Bull-Bragantino-2024Abril28-Serie-A
4,dom,2024-04-28,18:30,Juventude,1.2,1–1,1.3,Ath Paranaense,5.032,Estádio Alfredo Jaconi,,Relatório da Partida,,/pt/partidas/8a55364b/Juventude-Athletico-Paranaense-2024Abril28-Serie-A
4,dom,2024-04-28,20:00,Internacional,1.9,1–1,0.3,Atl Goianiense,28.468,Estádio José Pinheiro Borba,,Relatório da Partida,,/pt/partidas/de23a072/Internacional-Atletico-Goianiense-2024Abril28-Serie-A
4,sáb,2024-04-27,21:00,Bahia,1.1,1–0,0.1,Grêmio,35.836,Itaipava Arena Fonte Nova,,Relatório da Partida,,/pt/partidas/8c6f889c/Bahia-Gremio-2024Abril27-Serie-A
4,seg,2024-04-29,20:00,São Paulo,0.9,0–0,0.8,Palmeiras,55.694,Estádio do Morumbi,,Relatório da Partida,,/pt/partidas/8610ca29/Sao-Paulo-Palmeiras-2024Abril29-Serie-A
5,sáb,2024-05-04,16:00,Fluminense,1.8,2–2,1.3,Atlético Mineiro,5.168,Estádio Kleber José de Andrade,,Relatório da Partida,,/pt/partidas/deddd3ba/Fluminense-Atletico-Mineiro-2024Maio4-Serie-A
5,sáb,2024-05-04,18:30,Red Bull Bragantino,0.6,1–1,1.8,Flamengo,9.917,Estádio Nabi Abi Chedid,,Relatório da Partida,,/pt/partidas/4040e59f/Red-Bull-Bragantino-Flamengo-2024Maio4-Serie-A
5,dom,2024-05-05,16:00,Vitória,0.2,1–3,2.9,São Paulo,25.739,Estádio Manoel Barradas,,Relatório da Partida,,/pt/partidas/220684d8/Vitoria-Sao-Paulo-2024Maio5-Serie-A
5,dom,2024-05-05,16:00,Ath Paranaense,2.3,1–0,0.5,Vasco da Gama,31.192,Ligga Arena,,Relatório da Partida,,/pt/partidas/87ea58c7/Athletico-Paranaense-Vasco-da-Gama-2024Maio5-Serie-A
5,dom,2024-05-05,17:30,Cuiabá,0.4,0–2,1.8,Palmeiras,10.781,Arena Pantanal,,Relatório da Partida,,/pt/partidas/d141f173/Cuiaba-Palmeiras-2024Maio5-Serie-A
5,dom,2024-05-05,18:30,Botafogo (RJ),0.8,1–2,2.8,Bahia,22.685,Estádio Nilton Santos,,Relatório da Partida,,/pt/partidas/4537cc2f/Botafogo-RJ-Bahia-2024Maio5-Serie-A
5,sáb,2024-05-04,21:00,Corinthians,1.9,0–0,1.1,Fortaleza,42.456,Neo Química Arena,,Relatório da Partida,,/pt/partidas/2e483295/Corinthians-Fortaleza-2024Maio4-Serie-A
6,sáb,2024-05-11,16:00,Flamengo,1.7,2–0,1.6,Corinthians,56.829,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/206a47aa/Flamengo-Corinthians-2024Maio11-Serie-A
6,dom,2024-05-12,16:00,Palmeiras,1.7,0–2,0.9,Ath Paranaense,12.108,Arena Barueri,,Relatório da Partida,,/pt/partidas/73bffc53/Palmeiras-Athletico-Paranaense-2024Maio12-Serie-A
6,dom,2024-05-12,16:00,Atl Goianiense,1.5,0–1,0.5,Cruzeiro,7.576,Estádio Antônio Accioly,,Relatório da Partida,,/pt/partidas/c7b55047/Atletico-Goianiense-Cruzeiro-2024Maio12-Serie-A
6,dom,2024-05-12,16:00,Fortaleza,0.6,1–1,0.6,Botafogo (RJ),15.914,Estádio Castelão,,Relatório da Partida,,/pt/partidas/fec27399/Fortaleza-Botafogo-RJ-2024Maio12-Serie-A
6,dom,2024-05-12,18:30,Bahia,0.8,1–0,0.5,Red Bull Bragantino,36.820,Itaipava Arena Fonte Nova,,Relatório da Partida,,/pt/partidas/b6e02908/Bahia-Red-Bull-Bragantino-2024Maio12-Serie-A
6,dom,2024-05-12,18:30,Vasco da Gama,1.7,2–1,1.7,Vitória,11.084,Estádio Club de Regatas Vasco da Gama,,Relatório da Partida,,/pt/partidas/cbb799c7/Vasco-da-Gama-Vitoria-2024Maio12-Serie-A
6,seg,2024-05-13,20:00,São Paulo,1.8,2–1,0.6,Fluminense,39.515,Estádio do Morumbi,,Relatório da Partida,,/pt/partidas/7a7905d4/Sao-Paulo-Fluminense-2024Maio13-Serie-A
7,sáb,2024-06-01,16:00,Vitória,0.6,0–2,1.4,Atl Goianiense,16.008,Estádio Manoel Barradas,,Relatório da Partida,,/pt/partidas/1ad27438/Vitoria-Atletico-Goianiense-2024Junho1-Serie-A
7,sáb,2024-06-01,16:00,Grêmio,0.8,0–2,1.4,Red Bull Bragantino,7.563,Estádio Major Antônio Couto Pereira,,Relatório da Partida,,/pt/partidas/a0f3804e/Gremio-Red-Bull-Bragantino-2024Junho1-Serie-A
7,sáb,2024-06-01,17:30,Cuiabá,0.4,0–1,1.0,Internacional,5.747,Arena Pantanal,,Relatório da Partida,,/pt/partidas/9fe8507f/Cuiaba-Internacional-2024Junho1-Serie-A
7,sáb,2024-06-01,18:30,Fluminense,2.3,1–1,1.3,Juventude,21.037,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/004af2f4/Fluminense-Juventude-2024Junho1-Serie-A
7,dom,2024-06-02,16:00,Criciúma,1.2,1–2,2.7,Palmeiras,19.027,Estádio Heriberto Hülse,,Relatório da Partida,,/pt/partidas/3791ec20/Criciuma-Palmeiras-2024Junho2-Serie-A
7,dom,2024-06-02,16:00,Atlético Mineiro,1.0,1–1,0.4,Bahia,37.994,Arena MRV,,Relatório da Partida,,/pt/partidas/7d73c766/Atletico-Mineiro-Bahia-2024Junho2-Serie-A
7,dom,2024-06-02,16:00,Vasco da Gama,0.1,1–6,3.8,Flamengo,62.228,Estadio Jornalista Mário Filho,,Relatório da Partida,,/pt/partidas/af654f03/Classico-dos-Milhoes-Vasco-da-Gama-Flamengo-2024Junho2-Serie-A
7,dom,2024-06-02,18:30,São Paulo,0.6,2–0,0.6,Cruzeiro,44.928,Estádio do Morumbi,,Relatório da Partida,,/pt/partidas/0a5442e8/Sao-Paulo-Cruzeiro-2024Junho2-Serie-A
7,dom,2024-06-02,18:30,Fortaleza,1.3,1–0,0.7,Ath Paranaense,12.191,Estádio Municipal Presidente Getúlio Var...,,Relatório da Partida,,/pt/partidas/3132e57e/Fortaleza-Athletico-Paranaense-2024Junho2-Serie-A
7,sáb,2024-06-01,21:00,Corinthians,0.7,0–1,1.1,Botafogo (RJ),41.281,Neo Química Arena,,Relatório da Partida,,/pt/partidas/dd86edfe/Corinthians-Botafogo-RJ-2024Junho1-Serie-A
2,qua,2024-06-05,19:00,Cuiabá,0.4,0–0,1.0,Vitória,3.614,Arena Pantanal,,Relatório da Partida,,/pt/partidas/f22a2249/Cuiaba-Vitoria-2024Junho5-Serie-A
5,qua,2024-06-05,19:00,Juventude,1.3,1–0,1.6,Atl Goianiense,5.123,Estádio Alfredo Jaconi,,Relatório da Partida,,/pt/partidas/51c220ef/Juventude-Atletico-Goianiense-2024Junho5-Serie-A
6,dom,2024-06-09,16:00,Criciúma,1.8,2–5,1.5,Cuiabá,13.846,Estádio Heriberto Hülse,,Relatório da Partida,,/pt/partidas/dd01c27d/Criciuma-Cuiaba-2024Junho9-Serie-A
8,ter,2024-06-11,19:00,Juventude,0.7,1–1,0.5,Vitória,6.186,Estádio Alfredo Jaconi,,Relatório da Partida,,/pt/partidas/4a537b33/Juventude-Vitoria-2024Junho11-Serie-A
8,ter,2024-06-11,19:00,Atl Goianiense,3.1,2–2,0.4,Corinthians,1.208,Estádio Antônio Accioly,,Relatório da Partida,,/pt/partidas/9ece2587/Atletico-Goianiense-Corinthians-2024Junho11-Serie-A
8,ter,2024-06-11,20:00,Botafogo (RJ),1.7,1–0,0.2,Fluminense,27.239,Estádio Nilton Santos,,Relatório da Partida,,/pt/partidas/c607537a/Botafogo-RJ-Fluminense-2024Junho11-Serie-A
8,ter,2024-06-11,21:30,Red Bull Bragantino,1.2,1–2,1.0,Atlético Mineiro,4.617,Estádio Nabi Abi Chedid,,Relatório da Partida,,/pt/partidas/a451de49/Red-Bull-Bragantino-Atletico-Mineiro-2024Junho11-Serie-A
8,qui,2024-06-13,19:00,Cruzeiro,1.0,2–1,1.6,Cuiabá,26.595,Estádio Governador Magalhães Pinto,,Relatório da Partida,,/pt/partidas/35b9c8c7/Cruzeiro-Cuiaba-2024Junho13-Serie-A
